Sample,Isotope,Evaluation,g / g Uinit
87-72,Cs-134,ENDF VII.0 + mod-Mughabghab,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Mughabghab,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Mughabghab,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Mughabghab,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Mughabghab,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Mughabghab,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Mughabghab,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Mughabghab,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Mughabghab,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Mughabghab,2.82E-04
87-72,Sm-148,ENDF VII.0 + mod-Mughabghab,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Mughabghab,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Mughabghab,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Mughabghab,9.12E-06
87-72,Sm-152,ENDF VII.0 + mod-Mughabghab,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Mughabghab,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Mughabghab,9.58E-07
87-72,Eu-152,ENDF VII.0 + mod-Mughabghab,6.46E-09
87-72,Eu-153,ENDF VII.0 + mod-Mughabghab,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Mughabghab,8.69E-06
87-72,Eu-155,ENDF VII.0 + mod-Mughabghab,1.44E-06
87-72,Gd-154,ENDF VII.0 + mod-Mughabghab,1.95E-05
87-72,Gd-155,ENDF VII.0 + mod-Mughabghab,7.90E-06
87-72,Gd-156,ENDF VII.0 + mod-Mughabghab,1.03E-04
87-72,Gd-158,ENDF VII.0 + mod-Mughabghab,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Mughabghab,0.00E+00
87-72,Tc-99,ENDF VII.0 + mod-Mughabghab,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Mughabghab,4.91E-04
87-72,U-234,ENDF VII.1 + mod-Mughabghab,1.57E-04
87-72,U-235,ENDF VII.1 + mod-Mughabghab,5.86E-03
87-72,U-236,ENDF VII.1 + mod-Mughabghab,4.10E-03
